Date,pdx,pds,plx,pls,cbx,cbs,cpx,cps
2005-08-01,360,56386.529999999984,555,73243.14,716,79889.13999999997,197,57268.92000000002
2005-09-01,296,68297.71,534,82903.39999999992,678,104616.98000000004,153,47173.10999999999
2005-10-01,325,59097.05000000001,439,67884.88999999998,597,80359.29999999997,169,58622.63999999999
2005-11-01,257,55449.569999999956,439,67263.68,566,85982.55000000005,130,38088.44
2005-12-01,242,49180.90000000001,371,57466.520000000004,460,62711.63999999998,153,45312.100000000006
2006-01-01,377,67242.94,532,94992.84999999992,698,109906.2399999999,215,77505.07
2006-02-01,264,43740.53999999998,401,76350.58999999997,517,83591.63999999994,152,38794.48999999999
2006-03-01,327,55707.639999999985,455,79141.09000000001,640,84868.77999999997,163,52859.060000000005
2006-04-01,201,48237.61000000001,362,61183.120000000024,476,76462.72000000006,132,40237.41999999999
2006-05-01,278,57379.94999999997,375,62150.119999999995,502,66687.45999999996,150,43002.83999999999
2006-06-01,293,60947.519999999975,412,60667.39000000001,555,81999.66000000002,153,40421.659999999996
2006-07-01,250,53854.17999999999,383,59384.77999999998,515,69375.08999999995,124,55752.03999999998
2006-08-01,276,53301.23000000001,422,66469.81999999996,573,84432.30999999997,128,36410.86999999997
2006-09-01,219,42128.39,358,57523.27999999998,470,71457.83999999998,110,33570.81999999999
2006-10-01,227,49484.88000000003,393,56300.82000000001,505,78755.17,121,37067.78000000001
2006-11-01,203,31410.44,399,62592.63999999998,470,70120.91000000002,136,36632.21000000001
2006-12-01,193,41170.06999999999,332,48112.280000000006,417,54008.3,114,37353.7
2007-01-01,250,49221.240000000005,421,65782.72000000003,535,65760.99000000002,137,52542.97000000001
2007-02-01,205,32464.370000000014,303,51845.460000000014,389,46855.46000000001,122,44739.37000000001
2007-03-01,208,32581.80000000001,322,40464.080000000016,417,42205.430000000015,114,31140.02
2007-04-01,194,40156.75000000001,305,41245.45999999999,384,52657.50999999998,118,29881.820000000014
2007-05-01,158,25114.24,320,53270.079999999994,380,51081.28999999999,104,27634.36
2007-06-01,180,37014.18,329,42512.610000000015,397,50411.00000000002,114,29844.090000000007
2007-07-01,166,33334.740000000005,289,44735.95,348,50108.62,111,28269.590000000007
2007-08-01,211,42498.130000000005,272,38095.39000000002,354,54036.019999999975,131,32062.790000000008
2007-09-01,146,38906.250000000015,208,41515.04000000002,253,34004.37000000001,101,46416.920000000006
2007-10-01,155,44813.93999999999,168,26202.270000000015,209,41488.159999999974,113,29413.84000000001
2007-11-01,141,25706.210000000003,219,40547.83000000001,265,38405.080000000016,98,28809.890000000007
2007-12-01,126,27077.7,152,39209.400000000016,174,24509.52,105,41827.579999999994
2008-01-01,175,48162.229999999974,197,35762.14000000002,224,34999.370000000024,150,56909.86999999998
2008-02-01,141,26832.41000000001,119,18461.77,166,19666.04,95,26148.850000000002
2008-03-01,137,42787.439999999995,139,41901.959999999985,167,41056.83,112,48124.13999999999
2008-04-01,153,48285.079999999994,154,32873.67000000001,182,24431.33000000001,128,57600.72000000001
2008-05-01,154,46152.58000000001,131,25203.769999999997,171,24877.460000000003,115,46553.89000000001
2008-06-01,138,39345.16000000001,119,24528.03000000001,139,18685.539999999997,120,47387.649999999994
2008-07-01,146,40438.990000000005,142,32262.440000000002,150,27123.989999999994,140,47337.43999999998
2008-08-01,118,36347.30000000002,110,22381.000000000004,128,17655.399999999994,101,39719.62000000001
2008-09-01,130,31140.610000000008,105,18128.700000000008,133,21481.390000000003,102,27259.720000000005
2008-10-01,121,30422.40000000001,103,18990.859999999997,143,25546.21,84,37377.25
2008-11-01,105,24080.71000000001,82,17750.149999999994,107,16336.920000000002,80,25324.970000000005
2008-12-01,130,38161.600000000006,89,14275.389999999998,124,23876.170000000002,97,36347.46
2009-01-01,124,36754.98,126,21321.720000000005,150,19469.200000000004,102,39767.49999999999
2009-02-01,107,29284.700000000015,111,20889.29,117,17906.280000000006,105,32723.710000000006
2009-03-01,146,31712.91000000001,125,20177.38000000001,162,17807.82,112,42993.04000000001
2009-04-01,140,36435.62,104,15724.109999999999,143,26908.020000000004,101,25251.710000000006
2009-05-01,79,24763.000000000007,76,14542.880000000001,86,12951.009999999998,72,40576.21
2009-06-01,96,33053.93,102,14462.830000000002,114,26864.959999999995,87,22511.75
2009-07-01,116,29735.840000000015,108,26419.199999999997,126,19296.13,98,36858.91
2009-08-01,131,33524.27000000001,82,18324.08,114,18487.730000000007,101,40360.619999999995
2009-09-01,105,35320.60000000002,79,14027.4,115,20036.85,71,29948.650000000012
2009-10-01,93,25119.75999999999,91,11410.789999999997,126,15559.959999999997,61,23069.579999999998
2009-11-01,126,31499.55,104,20281.370000000003,150,23148.890000000007,81,38260.619999999995
2009-12-01,123,29435.700000000004,127,22184.729999999996,155,19630.350000000002,96,47723.71
2010-01-01,42,8129.369999999999,32,11419.109999999999,43,7759.969999999999,31,11788.51
2010-02-01,83,26914.040000000005,75,6656.909999999996,98,12675.190000000004,60,20895.760000000006
2010-03-01,129,35139.95,133,19941.550000000007,179,29202.480000000007,85,27254.020000000004
2010-04-01,100,18802.38,113,13775.369999999995,139,14214.099999999995,75,19545.65
2010-05-01,103,18429.63,100,14415.37,143,19080.899999999998,60,13764.100000000002
2010-06-01,123,27192.50000000001,137,20554.489999999994,172,23266.329999999994,88,24480.66
2010-07-01,128,27944.30000000001,102,22205.110000000004,144,20554.539999999997,87,29751.550000000003
